"assignment_name","assignment_url","starter_code_url","github_username","roster_identifier","student_repository_name","student_repository_url","submission_timestamp","points_awarded","points_available"
"Lab 4","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab-4","https://api.github.com/repos/ShaimaaAliECE/SE2251_Lab4","dndabiha","dndabiha","lab-4-dndabiha","https://github.com/ShaimaaAliECE/lab-4-dndabiha","2023-02-10 18:00:35 UTC","10","10"
"Lab 4","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab-4","https://api.github.com/repos/ShaimaaAliECE/SE2251_Lab4","Cgilbe","cgilbe27","lab-4-Cgilbe","https://github.com/ShaimaaAliECE/lab-4-Cgilbe","2023-02-11 01:31:30 UTC","10","10"
"Lab 4","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab-4","https://api.github.com/repos/ShaimaaAliECE/SE2251_Lab4","jwill345","jwill345","lab-4-jwill345","https://github.com/ShaimaaAliECE/lab-4-jwill345","2023-02-08 14:53:10 UTC","10","10"
"Lab 4","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab-4","https://api.github.com/repos/ShaimaaAliECE/SE2251_Lab4","GraemeWattUWO","gwatt23","lab-4-GraemeWattUWO","https://github.com/ShaimaaAliECE/lab-4-GraemeWattUWO","2023-02-08 22:10:25 UTC","5","10"
"Lab 4","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab-4","https://api.github.com/repos/ShaimaaAliECE/SE2251_Lab4","ChrisLato","clatosi2","lab-4-ChrisLato","https://github.com/ShaimaaAliECE/lab-4-ChrisLato","2023-02-07 18:59:38 UTC","10","10"
"Lab 4","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab-4","https://api.github.com/repos/ShaimaaAliECE/SE2251_Lab4","ovanvoor","ovanvoor","lab-4-ovanvoor","https://github.com/ShaimaaAliECE/lab-4-ovanvoor","2023-02-09 22:27:43 UTC","10","10"
"Lab 4","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab-4","https://api.github.com/repos/ShaimaaAliECE/SE2251_Lab4","arnav57","agoyal57","lab-4-arnav57","https://github.com/ShaimaaAliECE/lab-4-arnav57","2023-02-10 04:40:05 UTC","5","10"
"Lab 4","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab-4","https://api.github.com/repos/ShaimaaAliECE/SE2251_Lab4","ntfeng3","neng3","lab-4-ntfeng3","https://github.com/ShaimaaAliECE/lab-4-ntfeng3","2023-02-07 17:24:08 UTC","10","10"
"Lab 4","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab-4","https://api.github.com/repos/ShaimaaAliECE/SE2251_Lab4","dwepple","dwepple","lab-4-dwepple","https://github.com/ShaimaaAliECE/lab-4-dwepple","2023-02-06 23:52:01 UTC","10","10"
"Lab 4","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab-4","https://api.github.com/repos/ShaimaaAliECE/SE2251_Lab4","JoshuaCamillo","jcamill5","lab-4-JoshuaCamillo","https://github.com/ShaimaaAliECE/lab-4-JoshuaCamillo","2023-02-08 21:03:13 UTC","10","10"
"Lab 4","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab-4","https://api.github.com/repos/ShaimaaAliECE/SE2251_Lab4","Ecook46","ecook46","lab-4-Ecook46","https://github.com/ShaimaaAliECE/lab-4-Ecook46","2023-02-09 20:29:55 UTC","10","10"
"Lab 4","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab-4","https://api.github.com/repos/ShaimaaAliECE/SE2251_Lab4","lmayer5","lmayer5","lab-4-lmayer5","https://github.com/ShaimaaAliECE/lab-4-lmayer5","2023-02-07 17:28:31 UTC","10","10"
"Lab 4","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab-4","https://api.github.com/repos/ShaimaaAliECE/SE2251_Lab4","jszyman3","jszyman3","lab-4-jszyman3","https://github.com/ShaimaaAliECE/lab-4-jszyman3","2023-02-09 15:32:42 UTC","10","10"
