"assignment_name","assignment_url","starter_code_url","github_username","roster_identifier","student_repository_name","student_repository_url","submission_timestamp","points_awarded","points_available"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","mstrasm","mstrasm","prepareandtest-mstrasm","https://github.com/ShaimaaAliECE/prepareandtest-mstrasm","2023-01-15 01:31:25 UTC","10","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","GraemeWattUWO","gwatt23","prepareandtest-GraemeWattUWO","https://github.com/ShaimaaAliECE/prepareandtest-GraemeWattUWO","2023-01-17 16:34:07 UTC","10","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","lkalab","lkalab","prepareandtest-lkalab","https://github.com/ShaimaaAliECE/prepareandtest-lkalab","2023-01-16 00:17:55 UTC","10","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","duncanwaugh","dwaugh5","prepareandtest-duncanwaugh","https://github.com/ShaimaaAliECE/prepareandtest-duncanwaugh","2023-01-16 00:47:16 UTC","10","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","nnguy25","nnguy25","prepareandtest-nnguy25","https://github.com/ShaimaaAliECE/prepareandtest-nnguy25","2023-01-16 03:20:48 UTC","10","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","JoshuaCamillo","jcamill5","prepareandtest-JoshuaCamillo","https://github.com/ShaimaaAliECE/prepareandtest-JoshuaCamillo","2023-01-17 00:13:43 UTC","10","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","lmayer5","lmayer5","prepareandtest-lmayer5","https://github.com/ShaimaaAliECE/prepareandtest-lmayer5","2023-01-16 15:00:01 UTC","0","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","ntfeng3","neng3","prepareandtest-ntfeng3","https://github.com/ShaimaaAliECE/prepareandtest-ntfeng3","2023-01-16 16:10:47 UTC","10","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","lndojaUWO","lndoja","prepareandtest-lndojaUWO","https://github.com/ShaimaaAliECE/prepareandtest-lndojaUWO","2023-01-16 18:22:00 UTC","10","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","jszyman3","jszyman3","prepareandtest-jszyman3","https://github.com/ShaimaaAliECE/prepareandtest-jszyman3","2023-01-16 19:47:43 UTC","10","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","ThunderFlame2230","atriguer","prepareandtest-ThunderFlame2230","https://github.com/ShaimaaAliECE/prepareandtest-ThunderFlame2230","2023-01-18 15:05:43 UTC","0","10"
