"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-01 00:00","2022","05","01","00:00","8.9","","0.0","","54","","0.0","","11","","39","","16.1","","98.96","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-01 01:00","2022","05","01","01:00","8.6","","1.3","","60","","0.0","","11","","30","","16.1","","98.95","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-01 02:00","2022","05","01","02:00","8.9","","1.9","","61","","0.0","","11","","30","","16.1","","98.84","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-01 03:00","2022","05","01","03:00","8.0","","3.7","","74","","1.2","","11","","28","","16.1","","98.77","","","","","","Rain"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-01 04:00","2022","05","01","04:00","7.8","","4.6","","80","","4.8","","12","","30","","4.0","","98.78","","","","","","Thunderstorms,Moderate Rain"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-01 05:00","2022","05","01","05:00","7.6","","5.4","","86","","2.3","","11","","30","","16.1","","98.78","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-01 06:00","2022","05","01","06:00","8.4","","5.9","","84","","0.0","","10","","32","","16.1","","98.72","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-01 07:00","2022","05","01","07:00","8.8","","5.1","","77","","0.0","","12","","32","","16.1","","98.64","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-01 08:00","2022","05","01","08:00","8.9","","5.5","","79","","0.0","","12","","35","","16.1","","98.66","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-01 09:00","2022","05","01","09:00","10.4","","6.4","","76","","0.0","","13","","32","","16.1","","98.68","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-01 10:00","2022","05","01","10:00","10.5","","6.4","","76","","0.0","","13","","32","","16.1","","98.68","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-01 11:00","2022","05","01","11:00","11.8","","9.6","","86","","0.0","","13","","30","","16.1","","98.65","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-01 12:00","2022","05","01","12:00","12.9","","10.6","","86","","0.0","","13","","28","","16.1","","98.60","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-01 13:00","2022","05","01","13:00","15.3","","12.9","","85","","0.0","","14","","21","","16.1","","98.55","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-01 14:00","2022","05","01","14:00","15.3","","13.0","","86","","0.0","","13","","18","","16.1","","98.52","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-01 15:00","2022","05","01","15:00","17.9","","14.6","","81","","0.0","","18","","13","","16.1","","98.51","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-01 16:00","2022","05","01","16:00","15.1","","12.3","","83","","0.0","","8","","5","","16.1","","98.50","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-01 17:00","2022","05","01","17:00","14.6","","12.3","","86","","0.0","","10","","11","","16.1","","98.53","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-01 18:00","2022","05","01","18:00","17.4","","10.3","","63","","0.0","","29","","17","","16.1","","98.60","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-01 19:00","2022","05","01","19:00","12.6","","10.7","","88","","0.0","","16","","11","","16.1","","98.70","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-01 20:00","2022","05","01","20:00","9.6","","9.0","","96","","0.0","","17","","13","","16.1","","98.78","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-01 21:00","2022","05","01","21:00","9.8","","8.4","","91","","0.0","","22","","9","","16.1","","98.83","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-01 22:00","2022","05","01","22:00","11.3","","8.0","","80","","0.0","","27","","11","","16.1","","98.81","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-01 23:00","2022","05","01","23:00","11.1","","8.3","","83","","0.0","","24","","15","","16.1","","98.86","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-02 00:00","2022","05","02","00:00","10.8","","8.1","","83","","0.0","","23","","21","","16.1","","98.89","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-02 01:00","2022","05","02","01:00","9.2","","8.6","","96","","0.5","","25","","17","","6.4","","98.92","","","","","","Rain,Fog"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-02 02:00","2022","05","02","02:00","9.4","","8.2","","92","","0.0","","25","","15","","16.1","","98.91","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-02 03:00","2022","05","02","03:00","9.3","","7.5","","88","","0.0","","26","","15","","16.1","","98.94","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-02 04:00","2022","05","02","04:00","9.4","","7.5","","88","","0.0","","27","","17","","16.1","","98.98","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-02 05:00","2022","05","02","05:00","9.2","","6.8","","85","","0.0","","26","","17","","16.1","","99.04","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-02 06:00","2022","05","02","06:00","9.1","","6.9","","86","","0.0","","24","","15","","16.1","","99.11","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-02 07:00","2022","05","02","07:00","9.3","","7.8","","90","","0.0","","23","","11","","16.1","","99.13","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-02 08:00","2022","05","02","08:00","10.0","","7.4","","84","","0.0","","25","","17","","16.1","","99.17","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-02 09:00","2022","05","02","09:00","10.5","","7.0","","79","","0.0","","26","","21","","16.1","","99.21","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-02 10:00","2022","05","02","10:00","10.8","","6.7","","75","","0.0","","26","","26","","16.1","","99.27","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-02 11:00","2022","05","02","11:00","10.6","","6.6","","76","","0.0","","28","","24","","16.1","","99.32","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-02 12:00","2022","05","02","12:00","10.5","","6.7","","77","","0.0","","24","","30","","16.1","","99.33","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-02 13:00","2022","05","02","13:00","10.6","","7.0","","78","","0.0","","25","","26","","16.1","","99.33","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-02 14:00","2022","05","02","14:00","10.4","","7.8","","84","","0.0","","30","","15","","16.1","","99.39","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-02 15:00","2022","05","02","15:00","11.7","","7.7","","76","","0.0","","22","","17","","16.1","","99.39","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-02 16:00","2022","05","02","16:00","13.1","","7.6","","69","","0.0","","26","","13","","16.1","","99.37","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-02 17:00","2022","05","02","17:00","11.8","","7.3","","74","","0.0","","23","","17","","16.1","","99.40","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-02 18:00","2022","05","02","18:00","12.4","","7.0","","69","","0.0","","23","","15","","16.1","","99.45","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-02 19:00","2022","05","02","19:00","10.6","","6.8","","77","","0.0","","25","","13","","16.1","","99.47","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-02 20:00","2022","05","02","20:00","10.1","","6.4","","78","","0.0","","27","","11","","16.1","","99.49","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-02 21:00","2022","05","02","21:00","7.6","","5.2","","84","","0.0","","24","","9","","16.1","","99.51","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-02 22:00","2022","05","02","22:00","6.6","","5.2","","91","","0.0","","25","","5","","16.1","","99.49","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-02 23:00","2022","05","02","23:00","6.1","","4.9","","92","","0.0","","34","","4","","16.1","","99.44","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-03 00:00","2022","05","03","00:00","5.6","","4.4","","92","","0.0","","","M","4","","16.1","","99.46","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-03 01:00","2022","05","03","01:00","5.7","","4.8","","94","","0.0","","20","","4","","16.1","","99.48","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-03 02:00","2022","05","03","02:00","6.4","","5.4","","93","","0.0","","17","","13","","16.1","","99.44","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-03 03:00","2022","05","03","03:00","6.6","","5.4","","92","","0.0","","14","","13","","16.1","","99.34","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-03 04:00","2022","05","03","04:00","6.6","","5.4","","92","","0.0","","13","","9","","14.5","","99.33","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-03 05:00","2022","05","03","05:00","6.6","","5.4","","92","","0.0","","12","","5","","16.1","","99.38","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-03 06:00","2022","05","03","06:00","7.4","","5.6","","88","","0.0","","16","","9","","16.1","","99.31","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-03 07:00","2022","05","03","07:00","9.2","","6.2","","81","","0.0","","14","","15","","16.1","","99.28","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-03 08:00","2022","05","03","08:00","9.5","","6.3","","80","","0.0","","13","","17","","16.1","","99.23","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-03 09:00","2022","05","03","09:00","8.9","","7.0","","88","","0.2","","10","","22","","16.1","","99.20","","","","","","Rain"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-03 10:00","2022","05","03","10:00","8.6","","7.2","","91","","0.5","","11","","26","","14.5","","99.10","","","","","","Rain"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-03 11:00","2022","05","03","11:00","8.2","","7.0","","92","","0.2","","12","","26","","16.1","","99.11","","","","","","Rain"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-03 12:00","2022","05","03","12:00","8.5","","7.1","","91","","0.2","","12","","28","","16.1","","99.04","","","","","","Rain"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-03 13:00","2022","05","03","13:00","8.7","","7.8","","94","","0.8","","11","","32","","16.1","","98.74","","","","","","Rain"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-03 14:00","2022","05","03","14:00","9.0","","8.4","","96","","4.0","","10","","37","","8.1","","98.57","","","","","","Rain,Fog"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-03 15:00","2022","05","03","15:00","9.0","","8.6","","97","","7.3","","11","","35","","6.4","","98.48","","","","","","Moderate Rain,Fog"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-03 16:00","2022","05","03","16:00","9.4","","9.1","","98","","1.2","","12","","30","","16.1","","98.42","","","","","","Rain"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-03 17:00","2022","05","03","17:00","9.8","","9.4","","97","","0.0","","9","","17","","14.5","","98.43","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-05-03 18:00","2022","05","03","18:00","10.5","","10.1","","97","","0.0","","9","","15","","16.1","","98.40","","","","","","NA"
